team,similar_team,rank,distance
Angers,Lorient,1,2.3564453486428003
Angers,Metz,2,2.981736185697087
Angers,Nantes,3,3.4014405060676243
Angers,Toulouse,4,4.662526214946361
Angers,Auxerre,5,5.1958555229049415
Auxerre,Toulouse,1,1.8807450999328434
Auxerre,Nantes,2,2.3376373548238245
Auxerre,Rennes,3,3.4361140939181425
Auxerre,Le Havre,4,3.8519192333090433
Auxerre,Brest,5,3.9027138279511266
Brest,Le Havre,1,1.3333373483072364
Brest,Rennes,2,2.1181722910919123
Brest,Lens,3,3.0113134920090907
Brest,Lyon,4,3.096030100752318
Brest,Strasbourg,5,3.3562145610112903
Le Havre,Brest,1,1.3333373483072364
Le Havre,Rennes,2,2.390247081297252
Le Havre,Auxerre,3,3.8519192333090433
Le Havre,Lyon,4,3.9039695045663545
Le Havre,Strasbourg,5,4.1762079355758726
Lens,Lyon,1,2.719584128854385
Lens,Brest,2,3.0113134920090907
Lens,Strasbourg,3,3.0654595886524416
Lens,Lille,4,3.2017637194439525
Lens,Monaco,5,3.7789771342254683
Lille,Lens,1,3.2017637194439525
Lille,Strasbourg,2,3.5030791746011825
Lille,Lyon,3,3.51151472630247
Lille,Monaco,4,3.9163985413458313
Lille,Brest,5,5.54357428856591
Lorient,Angers,1,2.3564453486428003
Lorient,Metz,2,4.175278258534819
Lorient,Nantes,3,4.7276524996303095
Lorient,Toulouse,4,4.920400069173764
Lorient,Nice,5,5.894837378864485
Lyon,Strasbourg,1,2.588506986678297
Lyon,Lens,2,2.719584128854385
Lyon,Brest,3,3.096030100752318
Lyon,Lille,4,3.51151472630247
Lyon,Le Havre,5,3.9039695045663545
Marseille,Paris Saint Germain,1,4.862510303375999
Marseille,Paris FC,2,7.973079710483686
Marseille,Strasbourg,3,8.567330212523746
Marseille,Lille,4,9.21149899771569
Marseille,Monaco,5,9.31659895254395
Metz,Angers,1,2.981736185697087
Metz,Lorient,2,4.175278258534819
Metz,Nantes,3,5.027022434123109
Metz,Nice,4,5.3102754861339605
Metz,Rennes,5,5.8951615118299925
Monaco,Lens,1,3.7789771342254683
Monaco,Lille,2,3.9163985413458313
Monaco,Lyon,3,4.010155220111079
Monaco,Strasbourg,4,4.421248989856733
Monaco,Brest,5,4.595501479379457
Nantes,Auxerre,1,2.3376373548238245
Nantes,Toulouse,2,2.7779572843557596
Nantes,Angers,3,3.4014405060676243
Nantes,Nice,4,3.4313669883195312
Nantes,Rennes,5,3.6442086517542087
Nice,Rennes,1,1.8566359716547394
Nice,Nantes,2,3.4313669883195312
Nice,Toulouse,3,3.622352404018179
Nice,Brest,4,3.6986486471847737
Nice,Auxerre,5,3.9127054335219325
Paris FC,Strasbourg,1,3.171669415202712
Paris FC,Rennes,2,5.05451570852999
Paris FC,Brest,3,5.418722135749952
Paris FC,Lyon,4,5.471622661465509
Paris FC,Nice,5,5.585709183981683
Paris Saint Germain,Marseille,1,4.862510303375999
Paris Saint Germain,Lille,2,10.686116845272275
Paris Saint Germain,Monaco,3,10.834003846958627
Paris Saint Germain,Strasbourg,4,11.51086268263328
Paris Saint Germain,Paris FC,5,11.863444530062239
Rennes,Nice,1,1.8566359716547394
Rennes,Brest,2,2.1181722910919123
Rennes,Le Havre,3,2.390247081297252
Rennes,Auxerre,4,3.4361140939181425
Rennes,Toulouse,5,3.6343723721388552
Strasbourg,Lyon,1,2.588506986678297
Strasbourg,Lens,2,3.0654595886524416
Strasbourg,Paris FC,3,3.171669415202712
Strasbourg,Brest,4,3.3562145610112903
Strasbourg,Lille,5,3.5030791746011825
Toulouse,Auxerre,1,1.8807450999328434
Toulouse,Nantes,2,2.7779572843557596
Toulouse,Nice,3,3.622352404018179
Toulouse,Rennes,4,3.6343723721388552
Toulouse,Brest,5,4.291292014843251
