match_key,season,game_id,date,opponent,venue,points,score_final
2025-09-19_Lyon,,,2025-09-19,Lyon,Away,0,17.4
2025-11-23_Lyon,,,2025-11-23,Lyon,Home,1,47.53
2025-11-02_Lyon,,,2025-11-02,Lyon,Home,1,50.23
2025-12-14_Lyon,,,2025-12-14,Lyon,Away,0,16.5
2025-08-16_Lyon,,,2025-08-16,Lyon,Home,0,18.0
2025-09-28_Lyon,,,2025-09-28,Lyon,Home,0,21.0
2025-12-07_Lyon,,,2025-12-07,Lyon,Home,3,91.3
2025-08-16_Lens,,,2025-08-16,Lens,Away,3,86.8
2025-08-23_Metz,,,2025-08-23,Metz,Home,3,97.6
2025-08-31_Marseille,,,2025-08-31,Marseille,Home,3,89.5
2025-09-14_Rennes,,,2025-09-14,Rennes,Away,0,15.6
2025-09-19_Angers,,,2025-09-19,Angers,Home,3,87.4
2025-09-28_Lille,,,2025-09-28,Lille,Away,3,83.8
2025-10-05_Toulouse,,,2025-10-05,Toulouse,Home,0,18.0
2025-10-18_Nice,,,2025-10-18,Nice,Away,0,27.6
2025-10-26_Strasbourg,,,2025-10-26,Strasbourg,Home,3,88.6
2025-10-29_Paris FC,,,2025-10-29,Paris FC,Away,1,50.23
2025-11-02_Brest,,,2025-11-02,Brest,Away,1,44.23
2025-11-09_Paris Saint-Germain,,,2025-11-09,Paris Saint-Germain,Home,0,15.9
2025-11-23_Auxerre,,,2025-11-23,Auxerre,Away,1,46.93
2025-11-30_Nantes,,,2025-11-30,Nantes,Home,3,94.9
2025-12-07_Lorient,,,2025-12-07,Lorient,Away,0,13.5
2025-12-14_Le Havre,,,2025-12-14,Le Havre,Home,3,88.3
2026-01-03_Monaco,,,2026-01-03,Monaco,Away,3,92.5
2025-08-31_Lyon,,,2025-08-31,Lyon,Away,0,15.3
2025-08-23_Lyon,,,2025-08-23,Lyon,Away,0,7.2
2026-01-03_Lyon,,,2026-01-03,Lyon,Home,0,12.3
2025-11-30_Lyon,,,2025-11-30,Lyon,Away,0,9.9
2025-10-18_Lyon,,,2025-10-18,Lyon,Home,3,77.2
2025-10-29_Lyon,,,2025-10-29,Lyon,Home,1,44.23
2025-11-09_Lyon,,,2025-11-09,Lyon,Away,3,88.9
2025-09-14_Lyon,,,2025-09-14,Lyon,Home,3,89.2
2025-10-26_Lyon,,,2025-10-26,Lyon,Away,0,16.2
2025-10-05_Lyon,,,2025-10-05,Lyon,Away,3,86.8
