opponent,player,in_group
Brest,Abner,1
Brest,Adam Karabec,1
Brest,Adil Hamdani,0
Brest,Afonso Moreira,1
Brest,Ainsley Maitland-Niles,1
Brest,Clinton Mata,1
Brest,Corentin Tolisso,0
Brest,Da Silva,1
Brest,Dominik Greif,1
Brest,Endrick,1
Brest,Enzo Molebe,0
Brest,G. Rodriguez,1
Brest,Georges Mikautadze,0
Brest,Hans Hateboer,1
Brest,Himbert,1
Brest,Khalis Merah,1
Brest,Malick Fofana,0
Brest,Martin Satriano,0
Brest,Mathys De Carvalho,1
Brest,Moussa Niakhate,0
Brest,Nicolás Tagliafico,1
Brest,Orel Mangala,1
Brest,Pavel Šulc,1
Brest,Rachid Ghezzal,0
Brest,Ruben Kluivert,1
Brest,Rémy Descamps,1
Brest,Sael Kumbedi,0
Brest,Tanner Tessmann,1
Brest,Tyler Morton,1
