player,rating_with,rating_without,impact_points
Corentin Tolisso,33.09,32.03,1.06
Ainsley Maitland-Niles,33.09,32.11,0.98
Pavel Šulc,33.09,31.77,1.32
Moussa Niakhate,33.09,32.4,0.68
Afonso Moreira,33.09,31.89,1.2
Tanner Tessmann,33.09,32.32,0.77
Tyler Morton,33.09,32.74,0.35
Malick Fofana,33.09,32.27,0.82
Abner,33.09,32.45,0.64
Clinton Mata,33.09,33.2,-0.11
Nicolás Tagliafico,33.09,32.85,0.24
Martin Satriano,33.09,33.06,0.03
Adam Karabec,33.09,33.14,-0.05
Dominik Greif,33.09,33.54,-0.45
Georges Mikautadze,33.09,32.88,0.21
Khalis Merah,33.09,33.43,-0.34
Hans Hateboer,33.09,33.4,-0.32
Ruben Kluivert,33.09,33.57,-0.48
Mathys De Carvalho,33.09,33.82,-0.73
Rémy Descamps,33.09,34.05,-0.96
Sael Kumbedi,33.09,33.92,-0.84
Rachid Ghezzal,33.09,34.09,-1.0
Adil Hamdani,33.09,34.01,-0.92
Orel Mangala,33.09,34.02,-0.94
Enzo Molebe,33.09,34.25,-1.16
