combo,size,matches,avg_points,avg_score
Abner + Clinton Mata + Corentin Tolisso + Dominik Greif + Hans Hateboer + Martin Satriano + Mathys De Carvalho + Moussa Niakhate + Nicolás Tagliafico + Pavel Šulc + Tyler Morton,11,1,3.0,91.3
Afonso Moreira + Ainsley Maitland-Niles + Clinton Mata + Dominik Greif + Khalis Merah + Moussa Niakhate + Nicolás Tagliafico + Rachid Ghezzal + Ruben Kluivert + Tanner Tessmann + Tyler Morton,11,1,3.0,88.9
Adam Karabec + Ainsley Maitland-Niles + Clinton Mata + Corentin Tolisso + Dominik Greif + Malick Fofana + Martin Satriano + Moussa Niakhate + Nicolás Tagliafico + Tanner Tessmann + Tyler Morton,11,1,3.0,86.8
Abner + Adam Karabec + Ainsley Maitland-Niles + Clinton Mata + Corentin Tolisso + Dominik Greif + Malick Fofana + Martin Satriano + Pavel Šulc + Ruben Kluivert + Tyler Morton,11,1,3.0,77.2
Abner + Adam Karabec + Ainsley Maitland-Niles + Clinton Mata + Corentin Tolisso + Khalis Merah + Malick Fofana + Moussa Niakhate + Rémy Descamps + Tanner Tessmann + Tyler Morton,11,2,1.5,52.25
Afonso Moreira + Ainsley Maitland-Niles + Clinton Mata + Corentin Tolisso + Dominik Greif + Martin Satriano + Moussa Niakhate + Nicolás Tagliafico + Pavel Šulc + Rachid Ghezzal + Tyler Morton,11,1,1.0,50.23
Abner + Adam Karabec + Afonso Moreira + Ainsley Maitland-Niles + Clinton Mata + Corentin Tolisso + Dominik Greif + Martin Satriano + Moussa Niakhate + Pavel Šulc + Tanner Tessmann,11,1,1.0,47.53
Abner + Adam Karabec + Afonso Moreira + Ainsley Maitland-Niles + Clinton Mata + Corentin Tolisso + Dominik Greif + Mathys De Carvalho + Moussa Niakhate + Pavel Šulc + Tyler Morton,11,1,1.0,44.23
Adam Karabec + Ainsley Maitland-Niles + Clinton Mata + Corentin Tolisso + Dominik Greif + Khalis Merah + Malick Fofana + Moussa Niakhate + Nicolás Tagliafico + Tanner Tessmann + Tyler Morton,11,1,0.0,21.0
Abner + Ainsley Maitland-Niles + Clinton Mata + Corentin Tolisso + Georges Mikautadze + Malick Fofana + Moussa Niakhate + Rémy Descamps + Sael Kumbedi + Tanner Tessmann + Tyler Morton,11,1,0.0,18.0
Adam Karabec + Ainsley Maitland-Niles + Clinton Mata + Corentin Tolisso + Dominik Greif + Khalis Merah + Malick Fofana + Martin Satriano + Moussa Niakhate + Nicolás Tagliafico + Tanner Tessmann,11,1,0.0,17.4
Abner + Afonso Moreira + Clinton Mata + Corentin Tolisso + Dominik Greif + Hans Hateboer + Khalis Merah + Martin Satriano + Moussa Niakhate + Pavel Šulc + Tyler Morton,11,1,0.0,16.5
Adam Karabec + Ainsley Maitland-Niles + Clinton Mata + Corentin Tolisso + Dominik Greif + Malick Fofana + Moussa Niakhate + Nicolás Tagliafico + Pavel Šulc + Tanner Tessmann + Tyler Morton,11,1,0.0,16.2
Abner + Afonso Moreira + Ainsley Maitland-Niles + Clinton Mata + Corentin Tolisso + Dominik Greif + Khalis Merah + Nicolás Tagliafico + Pavel Šulc + Ruben Kluivert + Tyler Morton,11,1,0.0,12.3
Abner + Corentin Tolisso + Dominik Greif + Hans Hateboer + Martin Satriano + Mathys De Carvalho + Moussa Niakhate + Nicolás Tagliafico + Pavel Šulc + Tanner Tessmann + Tyler Morton,11,1,0.0,9.9
Abner + Ainsley Maitland-Niles + Clinton Mata + Corentin Tolisso + Georges Mikautadze + Malick Fofana + Moussa Niakhate + Pavel Šulc + Rémy Descamps + Tanner Tessmann + Tyler Morton,11,1,0.0,7.2
