date,venue,opponent,result,GF,GA,xG,xGA,Poss,Formation,Opp Formation,match_rating
2025-09-19,Away,Lyon,L,0.0,1.0,1.0,1.8,33.0,4-3-3,4-2-3-1,29.0
2025-11-23,Home,Lyon,D,0.0,0.0,2.0,1.6,31.0,4-3-3,4-2-3-1,57.0
2025-11-02,Home,Lyon,D,0.0,0.0,1.5,0.2,50.0,4-2-3-1,4-2-3-1,61.5
2025-12-14,Away,Lyon,L,0.0,1.0,1.4,2.5,43.0,4-3-3,4-3-3,27.5
2025-08-16,Home,Lyon,L,0.0,1.0,1.4,1.4,56.0,3-4-3,4-2-3-1,30.0
2025-09-28,Home,Lyon,L,0.0,1.0,1.5,0.5,54.0,4-2-3-1,4-3-3,35.0
2025-12-07,Home,Lyon,W,1.0,0.0,2.5,0.4,40.0,3-4-3,3-4-3,85.5
2025-08-16,Away,Lens,W,1.0,0.0,1.4,1.4,44.0,4-2-3-1,3-4-3,78.0
2025-08-23,Home,Metz,W,3.0,0.0,2.8,0.6,53.0,4-2-3-1,4-2-3-1,96.0
2025-08-31,Home,Marseille,W,1.0,0.0,2.3,0.8,57.0,4-2-3-1,4-2-3-1,82.5
2025-09-14,Away,Rennes,L,1.0,3.0,1.7,2.1,52.0,4-2-3-1,3-5-2,26.0
2025-09-19,Home,Angers,W,1.0,0.0,1.8,1.0,67.0,4-2-3-1,4-3-3,79.0
2025-09-28,Away,Lille,W,1.0,0.0,0.5,1.5,46.0,4-3-3,4-2-3-1,73.0
2025-10-05,Home,Toulouse,L,1.0,2.0,1.2,1.2,69.0,4-2-3-1,3-4-3,30.0
2025-10-18,Away,Nice,L,2.0,3.0,3.3,0.7,69.0,4-2-3-1,3-4-3,46.0
2025-10-26,Home,Strasbourg,W,2.0,1.0,1.7,0.5,48.0,4-3-3,3-5-2,81.0
2025-10-29,Away,Paris FC,D,3.0,3.0,1.3,0.6,48.0,4-2-3-1,4-3-3,61.5
2025-11-02,Away,Brest,D,0.0,0.0,0.2,1.5,50.0,4-2-3-1,4-2-3-1,51.5
2025-11-09,Home,Paris Saint-Germain,L,2.0,3.0,0.7,1.4,29.0,4-2-3-1,4-3-3,26.5
2025-11-23,Away,Auxerre,D,0.0,0.0,1.6,2.0,69.0,4-2-3-1,4-3-3,56.0
2025-11-30,Home,Nantes,W,3.0,0.0,2.3,1.0,70.0,3-4-3,4-3-3,91.5
2025-12-07,Away,Lorient,L,0.0,1.0,0.4,2.5,60.0,3-4-3,3-4-3,22.5
2025-12-14,Home,Le Havre,W,1.0,0.0,2.5,1.4,57.0,4-3-3,4-3-3,80.5
2026-01-03,Away,Monaco,W,3.0,1.0,1.4,0.5,56.0,4-3-1-2,4-3-1-2,87.5
2025-08-31,Away,Lyon,L,0.0,1.0,0.8,2.3,43.0,4-2-3-1,4-2-3-1,25.5
2025-08-23,Away,Lyon,L,0.0,3.0,0.6,2.8,47.0,4-2-3-1,4-2-3-1,12.0
2026-01-03,Home,Lyon,L,1.0,3.0,0.5,1.4,44.0,4-3-1-2,4-3-1-2,20.5
2025-11-30,Away,Lyon,L,0.0,3.0,1.0,2.3,30.0,4-3-3,3-4-3,16.5
2025-10-18,Home,Lyon,W,3.0,2.0,0.7,3.3,31.0,3-4-3,4-2-3-1,62.0
2025-10-29,Home,Lyon,D,3.0,3.0,0.6,1.3,52.0,4-3-3,4-2-3-1,51.5
2025-11-09,Away,Lyon,W,3.0,2.0,1.4,0.7,71.0,4-3-3,4-2-3-1,81.5
2025-09-14,Home,Lyon,W,3.0,1.0,2.1,1.7,48.0,3-5-2,4-2-3-1,82.0
2025-10-26,Away,Lyon,L,1.0,2.0,0.5,1.7,52.0,3-5-2,4-3-3,27.0
2025-10-05,Away,Lyon,W,2.0,1.0,1.2,1.2,31.0,3-4-3,4-2-3-1,78.0
