date,headline,category,direction,url,source
,C'est l'heure des grands débuts d'Endrick avec l'OL  : le Brésilien est titulaire face à Lille en Coupe de France,rumor,unknown,https://www.lequipe.fr/Football/Actualites/C-est-l-heure-des-grands-debuts-d-endrick-avec-l-ol-le-bresilien-est-titulaire-face-a-lille-en-coupe-de-france/1632782,L'Equipe
,"Endrick, 42 minutes et déjà buteur pour sa première avec l'OL en Coupe de France  : son but en vidéo",rumor,unknown,https://www.lequipe.fr/Football/Actualites/Endrick-42-minutes-et-deja-buteur-pour-sa-premiere-avec-l-ol-en-coupe-de-france/1632829,L'Equipe
,"Khalis Merah, révélation de la préparation estivale de l'OL : « Je ne m'attendais pas à jouer autant »",rumor,unknown,https://www.lequipe.fr/Football/Actualites/Khalis-merah-revelation-de-la-preparation-estivale-de-l-ol-je-ne-m-attendais-pas-a-jouer-autant/1633989,L'Equipe
,L'OL sans Rachid Ghezzal face à Brest,rumor,unknown,https://www.lequipe.fr/Football/Actualites/L-ol-sans-rachid-ghezzal-face-a-brest/1633984,L'Equipe
,L'entraîneur de l'OL Paulo Fonseca salue la performance de Kluivert : « Ruben a fait un match parfait »,rumor,unknown,https://www.lequipe.fr/Football/Actualites/L-entraineur-de-l-ol-paulo-fonseca-salue-la-performance-de-kluivert-ruben-a-fait-un-match-parfait/1632879,L'Equipe
,Le milieu de terrain de Lille Benjamin André sort sur blessure face à l'OL en Coupe de France,rumor,in,https://www.lequipe.fr/Football/Actualites/Le-milieu-de-terrain-de-lille-benjamin-andre-sort-sur-blessure-face-a-l-ol-en-coupe-de-france/1632839,L'Equipe
,Les anciens Brésiliens de l'OL emballés par les débuts d'Endrick : « Il ne va pas tarder à être à son meilleur niveau »,rumor,unknown,https://www.lequipe.fr/Football/Article/Les-anciens-bresiliens-de-l-ol-emballes-par-les-debuts-d-endrick-buteur-pour-sa-premiere-il-ne-va-pas-tarder-a-etre-a-son-meilleur-niveau/1633053,L'Equipe
,"Les notes de Lille-OL : Afonso Moreira intenable, Bodart fautif",rumor,unknown,https://www.lequipe.fr/Football/Article/Les-notes-de-lille-ol-afonso-moreira-intenable-bodart-fautif/1632874,L'Equipe
,"Les premières impressions d'Endrick sur le foot français  : « Quand tu y joues, tu comprends qu'il y a en France  de très bons joueurs et de très bonnes équipes comme Lille »",rumor,unknown,https://www.lequipe.fr/Football/Actualites/Endrick-a-savoure-son-premier-match-avec-l-ol-je-me-sens-comme-a-la-maison/1632881,L'Equipe
,Lille-OL : à quelle heure et sur quelle chaîne voir le match de Coupe de France ?,rumor,unknown,https://www.lequipe.fr/Football/Actualites/Lille-lyon-a-quelle-heure-et-sur-quelle-chaine-voir-le-match-de-coupe-de-france/1632064,L'Equipe
,Mercato  : l'OL va lever l'option d'achat de Martin Satriano pour le prêter à nouveau à Getafe... avec option d'achat,rumor,unknown,https://www.lequipe.fr/Football/Actualites/Mercato-l-ol-va-lever-l-option-d-achat-de-martin-satriano-pour-le-preter-a-nouveau-a-getafe-avec-option-d-achat/1633856,L'Equipe
,"Mercato : l'ancien ailier de l'OL Jeffinho prêté par Botafogo à Liaoning Tieren, en Chine",official,unknown,https://www.lequipe.fr/Football/Actualites/Mercato-l-ancien-ailier-de-l-ol-jeffinho-prete-par-botafogo-a-liaoning-tieren-en-chine/1632755,L'Equipe
,"Mercato : jeune espoir de Bröndby, Noah Nartey est à un pas de l'OL",rumor,unknown,https://www.lequipe.fr/Football/Actualites/Mercato-jeune-espoir-de-brondby-noah-nartey-est-a-un-pas-de-l-ol/1634068,L'Equipe
,Mercato : l'attaquant de l'OL Martin Satriano prêté à Getafe,official,out,https://www.lequipe.fr/Football/Actualites/Mercato-l-attaquant-de-l-ol-martin-satriano-prete-a-getafe/1634032,L'Equipe
,Paulo Fonseca a apprécié les premiers pas d'Endrick avec l'OL : « C'est très très positif »,rumor,unknown,https://www.lequipe.fr/Football/Actualites/Paulo-fonseca-a-apprecie-les-premiers-pas-d-endrick-avec-l-ol-c-est-tres-tres-positif/1632863,L'Equipe
,Transferts  : Téo Barisic (OL) vers Rijeka,official,unknown,https://www.lequipe.fr/Football/Actualites/Transferts-teo-barisic-ol-vers-rijeka/1632726,L'Equipe
,"« Il manque de repères mais le reste, il l'a » : que peut-on attendre d'Endrick, l'attaquant prêté à l'OL par le Real Madrid ?",official,in,https://www.lequipe.fr/Football/Article/-il-manque-de-reperes-mais-le-reste-il-l-a-que-peut-on-attendre-d-endrick-l-attaquant-prete-a-l-ol-par-le-real-madrid/1632559,L'Equipe
,"Étonnant et percutant, Endrick déjà le principal danger de l'OL",rumor,unknown,https://www.lequipe.fr/Football/Article/Etonnant-et-percutant-contre-lille-endrick-deja-le-principal-danger-de-l-ol/1632889,L'Equipe
