date,headline,direction,fee,url,source
2025-08-05,Tyler Morton,in,€10.00m,/jumplist/transfers/spieler/618494/transfer_id/5837061,Transfermarkt
,Matt Turner,in,€8.00m,/jumplist/transfers/spieler/425306/transfer_id/5828410,Transfermarkt
2025-08-04,Pavel Sulc,in,€7.50m,/jumplist/transfers/spieler/500053/transfer_id/5834469,Transfermarkt
,Martín Satriano,in,€5.00m,/jumplist/transfers/spieler/640109/transfer_id/6124016,Transfermarkt
2025-08-18,Dominik Greif,in,€4.00m,/jumplist/transfers/spieler/316884/transfer_id/5873102,Transfermarkt
2025-07-25,Ruben Kluivert,in,€3.78m,/jumplist/transfers/spieler/578421/transfer_id/5811081,Transfermarkt
2025-07-22,Afonso Moreira,in,€2.00m,/jumplist/transfers/spieler/952282/transfer_id/5801826,Transfermarkt
2025-08-12,Adam Karabec,in,Loan fee: €300k,/jumplist/transfers/spieler/652061/transfer_id/5858081,Transfermarkt
2026-01-01,Endrick,in,loan transfer,/jumplist/transfers/spieler/971570/transfer_id/6071216,Transfermarkt
2025-10-17,Hans Hateboer,in,loan transfer,/jumplist/transfers/spieler/275303/transfer_id/5988843,Transfermarkt
2025-09-05,Rachid Ghezzal,in,-,/jumplist/transfers/spieler/118287/transfer_id/5921741,Transfermarkt
2025-07-11,Mathys De Carvalho,in,-,/jumplist/transfers/spieler/1004486/transfer_id/5926650,Transfermarkt
,Téo Barišić,in,-,/jumplist/transfers/spieler/979773/transfer_id/5926649,Transfermarkt
2025-07-01,Khalis Merah,in,-,/jumplist/transfers/spieler/1187942/transfer_id/5963958,Transfermarkt
2025-06-30,Orel Mangala,in,End of loan 30/06/2025,/jumplist/transfers/spieler/289592/transfer_id/5238007,Transfermarkt
2025-06-30,Saïd Benrahma,in,End of loan 30/06/2025,/jumplist/transfers/spieler/290532/transfer_id/5493183,Transfermarkt
2025-12-31,Saël Kumbedi,in,End of loan 31/12/2025,/jumplist/transfers/spieler/951579/transfer_id/5900141,Transfermarkt
2025-06-30,Johann Lepenant,in,End of loan 30/06/2025,/jumplist/transfers/spieler/585973/transfer_id/5186770,Transfermarkt
2025-06-30,Amin Sarr,in,End of loan 30/06/2025,/jumplist/transfers/spieler/748382/transfer_id/5229544,Transfermarkt
2025-06-30,Adryelson,in,End of loan 30/06/2025,/jumplist/transfers/spieler/373433/transfer_id/5455036,Transfermarkt
2025-06-30,Mahamadou Diawara,in,End of loan 30/06/2025,/jumplist/transfers/spieler/1053147/transfer_id/5462042,Transfermarkt
2025-06-30,Mathieu Patouillet,in,End of loan 30/06/2025,/jumplist/transfers/spieler/744934/transfer_id/5069495,Transfermarkt
2025-06-30,Achraf Laâziri,in,End of loan 30/06/2025,/jumplist/transfers/spieler/902862/transfer_id/5107672,Transfermarkt
2025-06-30,Islamdine Halifa,in,End of loan 30/06/2025,/jumplist/transfers/spieler/902629/transfer_id/5101671,Transfermarkt
2025-06-30,Justin Bengui,in,End of loan 30/06/2025,/jumplist/transfers/spieler/802986/transfer_id/5468410,Transfermarkt
2025-07-01,Rayan Cherki,out,€36.50m,/jumplist/transfers/spieler/607223/transfer_id/5698298,Transfermarkt
2025-07-01,Georges Mikautadze,out,€31.00m,/jumplist/transfers/spieler/729814/transfer_id/5910310,Transfermarkt
2025-07-01,Lucas Perri,out,€16.00m,/jumplist/transfers/spieler/352041/transfer_id/5813600,Transfermarkt
2025-07-01,Saïd Benrahma,out,€12.00m,/jumplist/transfers/spieler/290532/transfer_id/5630299,Transfermarkt
2025-07-01,Saël Kumbedi,out,€6.00m,/jumplist/transfers/spieler/951579/transfer_id/6070006,Transfermarkt
2025-07-01,Amin Sarr,out,€3.50m,/jumplist/transfers/spieler/748382/transfer_id/5727719,Transfermarkt
2025-07-01,Johann Lepenant,out,€2.50m,/jumplist/transfers/spieler/585973/transfer_id/5745594,Transfermarkt
2025-07-01,Adryelson,out,€2.20m,/jumplist/transfers/spieler/373433/transfer_id/5785814,Transfermarkt
2026-01-01,Duje Caleta-Car,out,Loan fee: €500k,/jumplist/transfers/spieler/238266/transfer_id/5828641,Transfermarkt
2025-07-01,Jordan Veretout,out,€500k,/jumplist/transfers/spieler/164771/transfer_id/5810780,Transfermarkt
2025-07-01,Téo Barišić,out,€400k,/jumplist/transfers/spieler/979773/transfer_id/6117997,Transfermarkt
2026-01-01,Mathieu Patouillet,out,€342k,/jumplist/transfers/spieler/744934/transfer_id/5928318,Transfermarkt
2026-01-01,Mahamadou Diawara,out,Loan fee: €250k,/jumplist/transfers/spieler/1053147/transfer_id/5928843,Transfermarkt
2025-07-01,Alexandre Lacazette,out,free transfer,/jumplist/transfers/spieler/93720/transfer_id/5742535,Transfermarkt
2025-07-01,Nemanja Matić,out,free transfer,/jumplist/transfers/spieler/74683/transfer_id/5894949,Transfermarkt
2025-07-01,Islamdine Halifa,out,free transfer,/jumplist/transfers/spieler/902629/transfer_id/5890306,Transfermarkt
2026-01-01,Martín Satriano,out,loan transfer,/jumplist/transfers/spieler/640109/transfer_id/6124017,Transfermarkt
2026-01-01,Matt Turner,out,loan transfer,/jumplist/transfers/spieler/425306/transfer_id/5828424,Transfermarkt
2026-01-01,Paul Akouokou,out,loan transfer,/jumplist/transfers/spieler/429901/transfer_id/5911475,Transfermarkt
2026-01-01,Justin Bengui,out,loan transfer,/jumplist/transfers/spieler/802986/transfer_id/5803141,Transfermarkt
2025-06-30,Thiago Almada,out,End of loan 30/06/2025,/jumplist/transfers/spieler/576028/transfer_id/5455241,Transfermarkt
2025-06-30,Warmed Omari,out,End of loan 30/06/2025,/jumplist/transfers/spieler/711996/transfer_id/5238209,Transfermarkt
